wl,n
206.6,1.264
210.1,1.288
213.8,1.311
217.5,1.325
221.4,1.349
225.4,1.383
229.6,1.430
233.9,1.499
238.4,1.599
243.1,1.802
248.0,2.273
253.0,2.890
258.3,3.342
263.8,3.598
269.5,3.769
275.5,3.913
281.8,4.015
288.3,3.939
295.2,3.810
302.4,3.692
310.0,3.601
317.9,3.538
326.3,3.501
335.1,3.485
344.4,3.495
354.2,3.531
364.7,3.596
375.7,3.709
387.5,3.938
399.9,4.373
413.3,4.509
427.5,5.052
442.8,4.959
459.2,4.694
476.9,4.492
495.9,4.333
516.6,4.205
539.1,4.100
563.6,4.013
590.4,3.940
619.9,3.878
652.5,3.826
688.8,3.785
729.3,3.742
774.9,3.700
826.6,3.666
